Country,Suicide_rate,ISO-code,Urbanization rate,Fertility,Life_expectancy,Meat_consumption,Median_age,Population_growth,Sex-ratio,GDP_per_capita,Continent
Sweden,13.8,SWE,88,1.8,82.7,76.1,41.2,0.71,1,55989,Europe
Switzerland,11.3,CHE,73.9,1.5,#N/A,72.9,42.4,1.07,0.98,67558,Europe
Syria,2.4,SYR,55.5,2.8,71.8,21.2,24.3,1.97,1,#N/A,Asia
Tajikistan,3.3,TJK,27.5,3.6,70.9,8.7,24.5,2.45,0.99,3751,Asia
Tanzania,9.6,TZA,35.2,4.9,65,10,17.7,3.04,1,3652,Africa
Thailand,12.9,THA,51.4,1.5,76.9,27.9,37.7,0.31,0.96,21361,Asia
The Bahamas,1.6,BHS,83.2,1.8,73.8,123.6,32,1.52,0.96,33432,#N/A
The Gambia,10,GMB,62.6,5.2,61.7,5.2,21,3.19,0.98,2892,#N/A
Togo,16.6,TGO,42.8,4.3,60.8,8.5,19.8,2.6,0.98,1913,Africa
Tonga,4,TON,23.1,3.6,70.8,#N/A,23,0.37,1.01,6867,Oceania
Trinidad and Tobago,12.9,TTO,53.2,1.7,73.4,57.8,36,0.33,1.03,33713,North America
Tunisia,3.2,TUN,69.6,2.2,76.5,25.5,31.6,0.97,0.99,13093,Africa
Turkey,7.2,TUR,76.1,2.1,78.3,19.3,30.9,1.28,1.01,29327,Asia
Turkmenistan,7.2,TKM,52.5,2.8,68.1,41.7,27.9,1.29,0.98,21855,Asia
Uganda,20,UGA,25,5,63,11.7,15.8,3.35,0.94,2753,Africa
Ukraine,18.5,UKR,69.6,1.3,72,32.3,40.6,-0.25,0.86,10130,Europe
United Arab Emirates,2.7,ARE,87,1.4,77.8,74.4,30.3,3.1,2.56,70441,Asia
United Kingdom,7.6,GBR,83.9,1.7,81.2,79.6,40.5,0.75,0.99,48169,Europe
United States,13.7,USA,82.7,1.7,78.9,124.8,38.1,0.74,0.97,67426,North America
Uruguay,16.5,URY,95.5,2,77.8,98.6,35,0.35,0.94,24516,South America
Uzbekistan,7.4,UZB,50.4,2.4,71.5,20.7,28.6,1.47,0.99,9595,Asia
Vanuatu,5.4,VUT,25.5,3.8,70.3,32.6,22,2.24,0.99,3039,Oceania
Venezuela,3.8,VEN,88.3,2.3,72.1,56.6,28.3,1.53,0.99,16055,South America
Vietnam,7,VNM,37.3,2,75.3,28.6,30.5,1.06,1.01,8677,Asia
Yemen,9.8,YEM,36.6,3.8,66.1,14.7,19.5,2.33,1.02,2312,Asia
Zambia,11.3,ZMB,44.6,4.6,63.5,11.9,16.8,3.19,1,4174,Africa
Zimbabwe,19.1,ZWE,32.2,3.6,61.2,15.2,20,2.7,0.96,2778,Africa
